
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
//
//						HEROES
//
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////

///////////////////////////////////////////////////////
// Aeronaut
///////////////////////////////////////////////////////

	"npc_dota_hero_shredder"    "Aeronaut"

	"DOTA_Tooltip_ability_special_bonus_rai_6"    "-4s Arc Twister Cooldown"

	"DOTA_Tooltip_ability_rai_amplify"    "Amplify"
	"DOTA_Tooltip_ability_rai_amplify_Description"    "Rai forces his electrical energies into the air around him, causing it to damage nearby enemies over time. At the end of the duration, bolts of lightning zap multiple randomly selected nearby targets, slowing and damaging them."
	"DOTA_Tooltip_ability_rai_amplify_damage"    "DAMAGE PER SECOND:"
	"DOTA_Tooltip_ability_rai_amplify_duration"    "DURATION:"
	"DOTA_Tooltip_ability_rai_amplify_end_damage"    "BOLT DAMAGE:"
	"DOTA_Tooltip_ability_rai_amplify_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_rai_amplify_targets"    "BOLT TARGETS:"
	"DOTA_Tooltip_ability_rai_amplify_slow"    "%BOLT MOVEMENT SLOW:"
	"DOTA_Tooltip_ability_rai_amplify_slow_duration"    "SLOW DURATION:"
		"DOTA_Tooltip_modifier_amplify"    "Amplify"
		"DOTA_Tooltip_modifier_amplify_description"    "Dealing damage over time to nearby enemies, then zapping some random targets."
		"DOTA_Tooltip_modifier_amplify_slow"    "Amplify"
		"DOTA_Tooltip_modifier_amplify_slow_description"    "Being slowed."

	"DOTA_Tooltip_ability_rai_arc_twister"    "Arc Twister"
	"DOTA_Tooltip_ability_rai_arc_twister_Description"    "Rai travels to a target location at extreme speed, arriving after a very short delay, and dealing damage to any enemies caught between his start and end point."
	"DOTA_Tooltip_ability_rai_arc_twister_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_rai_arc_twister_delay"    "DELAY:"

	"DOTA_Tooltip_ability_rai_static_blade"    "Static Blade"
	"DOTA_Tooltip_ability_rai_static_blade_Description"    "As Rai deals Magical damage over a threshold to enemies, he gains Static Blade charges. When toggled on, deals bonus Magical damage, slows, and damages over time the enemy struck based on the amount of charges he has."
	"DOTA_Tooltip_ability_rai_static_blade_damage_per_stack"    "DAMAGE PER STACK:"
	"DOTA_Tooltip_ability_rai_static_blade_slow_per_stack"    "%SLOW PER STACK:"
	"DOTA_Tooltip_ability_rai_static_blade_slow_duration"    "SLOW DURATION:"
	"DOTA_Tooltip_ability_rai_static_blade_max_stack"    "MAX STACKS:"
	"DOTA_Tooltip_ability_rai_static_blade_dot_per_stack"    "DAMAGE OVER TIME PER STACK:"
	"DOTA_Tooltip_ability_rai_static_blade_threshold"    "MAGIC DAMAGE THRESHOLD:"
		"DOTA_Tooltip_modifier_static_blade"    "Static Blade"
		"DOTA_Tooltip_modifier_static_blade_description"    "When toggled on, dealing bonus damage and slowing on the next attack based on the amount of stacks accumulated."

	"DOTA_Tooltip_ability_rai_thunder_roar"    "Thunder Roar"
	"DOTA_Tooltip_ability_rai_thunder_roar_Description"    "After a short cast time, Rai creates an area of high energetic potential that follows him, striking a random nearby enemy with a bolt of lightning every few moments. The bolts mini-stun enemies and deal half damage in a large area around them."
	"DOTA_Tooltip_ability_rai_thunder_roar_damage"    "BOLT DAMAGE:"
	"DOTA_Tooltip_ability_rai_thunder_roar_duration"    "DURATION:"
	"DOTA_Tooltip_ability_rai_thunder_roar_bolts"    "NUMBER OF BOLTS:"
	"DOTA_Tooltip_ability_rai_thunder_roar_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_rai_thunder_roar_bolt_radius"    "DAMAGE RADIUS:"
	"DOTA_Tooltip_ability_rai_thunder_roar_bolt_ministun"    "MINISTUN:"
		"DOTA_Tooltip_modifier_thunder_roar"    "Thunder Roar"
		"DOTA_Tooltip_modifier_thunder_roar_description"    "Striking nearby targets with bolts of lightning."

///////////////////////////////////////////////////////
// Reus
///////////////////////////////////////////////////////

	"npc_dota_hero_elder_titan"    "Reus"
	"npc_dota_hero_elder_titan_bio"    "Many eons ago, before "
	"npc_dota_hero_elder_titan_hype"    "Not many Heroes can claim to have as much visceral impact with their abilities as Reus. Rending the earth itself asunder, Reu	s may fire stunning rocks with Stoneblast, create slowing and damaging tremors with Magnitude, wallop enemies into next week with Gaia's Fury, and trap his enemies and allies in an arena that is impossible to escape-- buffing himself in the process-- with Ancient Arena."


	"DOTA_Tooltip_ability_special_bonus_reus_1"    "+40 Magnitude Damage"

	"DOTA_Tooltip_ability_special_bonus_reus_2"    "+0.8s Gaia's Fury Stun"

	"DOTA_Tooltip_ability_special_bonus_reus_3"    "+100 Stoneblast Damage"

	"DOTA_Tooltip_ability_special_bonus_reus_4"    "Half Magnitude Quake Interval"
	"DOTA_Tooltip_ability_special_bonus_reus_4_Description"    "Magnitude hits twice as often."

	"DOTA_Tooltip_ability_reus_stoneblast"    "Stoneblast"
	"DOTA_Tooltip_ability_reus_stoneblast_description"    "The Titan goes to toss a heavy slab of rock towards his target location, dealing physical damage and stunning enemies caught in it."
	"DOTA_Tooltip_ability_reus_stoneblast_stun"    "STUN:"
	"DOTA_Tooltip_ability_reus_stoneblast_damage"    "DAMAGE:"

	"DOTA_Tooltip_ability_reus_magnitude"    "Magnitude"
	"DOTA_Tooltip_ability_reus_magnitude_description"    "Reus slams the ground to create an area that experiences deadly tremors, dealing damage and slowing enemies periodically.  Slows allies by 30%%."
	"DOTA_Tooltip_ability_reus_magnitude_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_reus_magnitude_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_reus_magnitude_quake_interval"    "QUAKE INTERVAL:"
	"DOTA_Tooltip_ability_reus_magnitude_slow_duration"    "SLOW DURATION:"
	"DOTA_Tooltip_ability_reus_magnitude_slow"    "%MOVE/ATTACK SLOW:"
	"DOTA_Tooltip_ability_reus_magnitude_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_magnitude_slow"    "Magnitude Slow"
		"DOTA_Tooltip_modifier_magnitude_slow_description"    "Being slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_magnitude_slow_ally"    "Magnitude Slow"
		"DOTA_Tooltip_modifier_magnitude_slow_ally_description"    "Being slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

	"DOTA_Tooltip_ability_reus_gaias_fury"    "Gaia's Fury"
	"DOTA_Tooltip_ability_reus_gaias_fury_description"    "Reus charges his next attack with the power of the Earth. Upon striking a target, he deals bonus Physical damage based on his Strength stat, stuns them, and damages and slows all units in a large radius around them. Works on towers, but deals 0.25x damage, and stuns for half the duration."
	"DOTA_Tooltip_ability_reus_gaias_fury_radius"    "DAMAGE/SLOW RADIUS:"
	"DOTA_Tooltip_ability_reus_gaias_fury_duration"    "BUFF DURATION:"
	"DOTA_Tooltip_ability_reus_gaias_fury_damage"    "STRENGTH TO DAMAGE:"
	"DOTA_Tooltip_ability_reus_gaias_fury_cleave_damage"    "%AREA DAMAGE:"
	"DOTA_Tooltip_ability_reus_gaias_fury_stun"    "STUN:"
	"DOTA_Tooltip_ability_reus_gaias_fury_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_reus_gaias_fury_slow_duration"    "SLOW DURATION:"
		"DOTA_Tooltip_modifier_gaias_fury"    "Gaia's Fury"
		"DOTA_Tooltip_modifier_gaias_fury_description"    "Next attack is dealing bonus damage based on Strength, dealing half and slowing in an AoE, and stunning the main target."
		"DOTA_Tooltip_modifier_gaias_fury_slow"    "Gaia's Fury Slow"
		"DOTA_Tooltip_modifier_gaias_fury_slow_description"    ""

	"DOTA_Tooltip_ability_reus_ancient_arena"    "Ancient Arena"
	"DOTA_Tooltip_ability_reus_ancient_arena_description"    "Reus summons an arena of stone to trap his enemies.  Units on the inside cannot exit, and units on the outside cannot enter.  Whilst within the Arena, Reus gains bonus move speed, attack speed, damage and armor."
	"DOTA_Tooltip_ability_reus_ancient_arena_Note0"    "For almost all cases, units that are spawned inside the arena are not removed from it.  This includes illusions, summoned units, temporary units, and heroes."
	"DOTA_Tooltip_ability_reus_ancient_arena_Note1"    "Invulnerable units can exit and enter the arena, but will immediately come under its effects when they are no longer in their invulnerable state.  Units that were invulnerable when the ability started are not considered to be trapped in the arena."
	"DOTA_Tooltip_ability_reus_ancient_arena_Note2"    "Has a maximum check range of 3000. If a unit goes beyond this range, they will not be pulled back into the arena."
	"DOTA_Tooltip_ability_reus_ancient_arena_Note3"    "This spell pierces Spell Immunity."
	"DOTA_Tooltip_ability_reus_ancient_arena_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_reus_ancient_arena_bonus_attackspeed"    "ATTACK SPEED:"
	"DOTA_Tooltip_ability_reus_ancient_arena_bonus_movespeed"    "%MOVE SPEED:"
	"DOTA_Tooltip_ability_reus_ancient_arena_bonus_damage"    "BASE DAMAGE:"
	"DOTA_Tooltip_ability_reus_ancient_arena_bonus_armor"    "ARMOR:"
	"DOTA_Tooltip_ability_reus_ancient_arena_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_ancient_arena_sticky"    "Ancient Arena"
		"DOTA_Tooltip_modifier_ancient_arena_sticky_description"    "Cannot leave the arena!"
		"DOTA_Tooltip_modifier_ancient_arena_caster"    "Ancient Arena"
		"DOTA_Tooltip_modifier_ancient_arena_caster_description"    "Gaining various bonuses while in the Arena."

///////////////////////////////////////////////////////
// Set
///////////////////////////////////////////////////////

	"npc_dota_hero_sand_king"    "Set"
	"npc_dota_hero_sand_king_bio"    ""
	"npc_dota_hero_sand_king_hype"    "A sieger and teamfighter, Set functions best in messy fights where he will not be interrupted whilst channelling his devastating An Army Beneath the Sands. Focused on creating powerful Sand Puppets through his Sands of War and Ultimate, he can quickly push down towers if not kept in check. His Harsh Sun passive grants him bonus regeneration and slows enemies' attack speed during the day, globally."


	"DOTA_Tooltip_ability_special_bonus_set_1"    "+1 Sands of War Archer"

	"DOTA_Tooltip_ability_special_bonus_set_2"    "+25 Harsh Sun Attack Speed Slow"

	"DOTA_Tooltip_ability_special_bonus_set_3"    "+125 Sand Puppets Attack Speed"

	"DOTA_Tooltip_ability_special_bonus_set_4"    "-0.4s Scarab Curse Interval"

	"DOTA_Tooltip_ability_set_sands_of_war"    "Sands Of War"
	"DOTA_Tooltip_ability_set_sands_of_war_description"    "Set kicks up two sand clouds that travel quickly and pass through each other.  Enemies hit by them are slowed. When they reach their destination, two Sand Puppets are spawned.  Sand Archers have large attack range that scales with level but low damage, and Sand Warriors have short attack range but high damage plus bonus movespeed that scales with level, and both last %time% seconds.  Sand Puppets are based upon Set's level, not the level of this skill."
	"DOTA_Tooltip_ability_set_sands_of_war_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_set_sands_of_war_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_set_sands_of_war_mult"    "LEVEL MULTIPLIER:"
	"DOTA_Tooltip_ability_set_sands_of_war_duration"    "SLOW DURATION:"
	"DOTA_Tooltip_ability_set_sands_of_war_time"    "PUPPET DURATION:"
		"DOTA_Tooltip_modifier_sands_of_war"    "Sands of War Slow"
		"DOTA_Tooltip_modifier_sands_of_war_description"    ""
		"DOTA_Tooltip_modifier_sands_of_war_attack_speed"    "Sands of War Attack Speed Talent"
		"DOTA_Tooltip_modifier_sands_of_war_attack_speed_description"    ""

	"DOTA_Tooltip_ability_set_scarab_curse"    "Scarab Curse"
	"DOTA_Tooltip_ability_set_scarab_curse_Description"    "Set places a curse on the target unit, summoning a Scarab to fly around them. The Scarab steals a portion of their attack damage, and then deals damage every %interval% second based on the amount stolen plus a base damage amount. Set can retarget the debuff to any other nearby unit within a %retarget_range% radius with his Switch Scarab Targets subability."
	"DOTA_Tooltip_ability_set_scarab_curse_base_damage"    "BASE DAMAGE:"
	"DOTA_Tooltip_ability_set_scarab_curse_percent_damage_reduction"    "%DAMAGE REDUCTION:"
	"DOTA_Tooltip_ability_set_scarab_curse_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_set_scarab_curse_interval"    "INTERVAL:"
	"DOTA_Tooltip_ability_set_scarab_curse_duration"    "DURATION:"
	"DOTA_Tooltip_ability_set_scarab_curse_retarget_range"    "RETARGET RANGE:"
		"DOTA_Tooltip_modifier_scarab_curse_display"    "Scarab Curse"
		"DOTA_Tooltip_modifier_scarab_curse_display_description"    "Taking damage over time equal to the damage stolen on initial cast."
		"DOTA_Tooltip_modifier_scarab_curse_damage_steal_display"    "Scarab Curse Damage Steal"
		"DOTA_Tooltip_modifier_scarab_curse_damage_steal_display_description"    "Your damage is feeding the Scarab!"

	"DOTA_Tooltip_ability_set_harsh_sun"    "Harsh Climate"
	"DOTA_Tooltip_ability_set_harsh_sun_description"    "The very presence of the Sand God turns the climate during the day from gentle to harsh, reducing enemies' attack speed and vision globally. Meanwhile Set is empowered by this harsh weather, gaining bonus movespeed and vision. Is less effective on creeps."
	"DOTA_Tooltip_ability_set_harsh_sun_Note0"    "Does not affect Ancients or Magic Immune enemies."
	"DOTA_Tooltip_ability_set_harsh_sun_attack_slow"    "ENEMY ATTACK SLOW:"
	"DOTA_Tooltip_ability_set_harsh_sun_vision_reduction"    "ENEMY VISION REDUCTION:"
	"DOTA_Tooltip_ability_set_harsh_sun_bonus_movespeed"    "BONUS BASE  MOVESPEED:"
	"DOTA_Tooltip_ability_set_harsh_sun_bonus_day_vision"    "BONUS DAY VISION:"

	"DOTA_Tooltip_ability_set_switch_scarab_targets"    "Switch Scarab Targets"
	"DOTA_Tooltip_ability_set_switch_scarab_targets_Description"    "Changes the Scarab's target."

	"DOTA_Tooltip_ability_set_sirocco"    "Sirocco"
	"DOTA_Tooltip_ability_set_sirocco_Description"    "Set unleashes a merciless sandstorm in the area around him. Enemies caught in it take %damage% damage per second, and have their vision reduced to %vision_change%, while Set and any Sand Puppets under his control recover Health equal to the damage amount. Lasts %duration% seconds. %radius% radius. Deals damage in 0.25s intervals. The vision reduction fully affects Buildings (but the damage does not)."
	"DOTA_Tooltip_ability_set_sirocco_damage"    "DAMAGE PER SECOND:"
	"DOTA_Tooltip_ability_set_sirocco_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_set_sirocco_vision_change"    "VISION:"
	"DOTA_Tooltip_ability_set_sirocco_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_sirocco_aura_ally"    "Sirocco"
		"DOTA_Tooltip_modifier_sirocco_aura_ally_description"    "Set and his controlled Puppets are gaining Health over time."
		"DOTA_Tooltip_modifier_sirocco_aura_enemy"    "Sirocco"
		"DOTA_Tooltip_modifier_sirocco_aura_enemy_description"    "Taking damage over time and vision is being reduced."

///////////////////////////////////////////////////////
// Shade
///////////////////////////////////////////////////////

	"npc_dota_hero_bounty_hunter"    "Shade"
	"npc_dota_hero_bounty_hunter_bio"    "Few possess a reputation capable of striking fear into the Arca of the realm, but the Nightwalker was one. A veteran assassin, and a slayer of countless mages, he tore across Lochraith at the drop of a coin, seemingly unstoppable. Not all lives were his, however; a young Arca had seen him coming days in advance, and set a devious trap. Caught in a powerful binding spell, he prepared to take his last breath, but the Arca hesitated. For all the trouble he had caused, all those he had killed in the name of avarice, he deserved worse than death. His punishment would forever be wandering a dark void, unable to escape, with no need for material goods, with no quarries to find. She hastily weaved a dark, terrible curse, full of isolation and solitude. But curses are fickle creatures, born of terrible, turbulent emotions. She realised her mistake all but a second too late. Using the very threads she had weaved prior, the Nightwalker tore her from the plane, imprisoning her in a desolate realm, using his undying connection with her to weave dark magic of his own."
	"npc_dota_hero_bounty_hunter_hype"    "Shade is a powerful Agility Hero that relies on his enemies being isolated to deal his damage. His blades are coated in Darkwyrm Venom, dealing damage based on the amount of debuffs his opponent has. He can Stalk a target to inflict a large amount of Physical damage and slow, and he can sustain in fights with his terrifying Dark Hunger. His Ultimate, Isolation, may remove an enemy from their allies, crippling their ability to deal damage."


	"DOTA_Tooltip_ability_special_bonus_shade_1"    "+2.5s Stalk Duration"

	"DOTA_Tooltip_ability_special_bonus_shade_2"    "+20 Venomous DPS"

	"DOTA_Tooltip_ability_special_bonus_shade_3"    "+8% Dark Hunger Hero Heal"

	"DOTA_Tooltip_ability_special_bonus_shade_4"    "Isolation Stuns for 2s"

	"DOTA_Tooltip_ability_special_bonus_shade_5"    "+4 Venomous Armor Reduction"

	"DOTA_Tooltip_ability_special_bonus_shade_6"    "+275 Stalk Damage"

	"DOTA_Tooltip_ability_shade_stalk"    "Stalk"
	"DOTA_Tooltip_ability_shade_stalk_lore"    "The venom that coats the blades of the Nightwalker can down giants with a single drop."
	"DOTA_Tooltip_ability_shade_stalk_description"    "The target enemy is slowed and granted vision of, while Shade becomes invisible and moves faster. When attacking the enemy, he deals bonus Physical damage and applies a debuff that slows and deals Physical damage over time."
	"DOTA_Tooltip_ability_shade_stalk_duration"    "DURATION:"
	"DOTA_Tooltip_ability_shade_stalk_movespeed_bonus"    "%MOVESPEED INCREASE:"
	"DOTA_Tooltip_ability_shade_stalk_proc_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_shade_stalk_slow"    "%SLOW:"
		"DOTA_Tooltip_modifier_stalk"    "Stalking..."
		"DOTA_Tooltip_modifier_stalk_description"    "Stalking a target and dealing Pure bonus damage when attacking them."
		"DOTA_Tooltip_modifier_stalk_target"    "Stalked"
		"DOTA_Tooltip_modifier_stalk_target_description"    "You're being watched... careful."

	"DOTA_Tooltip_ability_shade_dark_hunger"    "Dark Hunger"
	"DOTA_Tooltip_ability_shade_dark_hunger_lore"    "Shade feeds on his opponents' souls as they slip."
	"DOTA_Tooltip_ability_shade_dark_hunger_creep_heal"    "HEAL AMOUNT (CREEPS):"
	"DOTA_Tooltip_ability_shade_dark_hunger_description"    "Shade surrounds himself in dark energy, taking damage over time. While affected, he drains Health from nearby enemies, spreading the drain amount equally between all within the effective radius."
	"DOTA_Tooltip_ability_shade_dark_hunger_health_drain"    "HEALTH DRAIN:"
	"DOTA_Tooltip_ability_shade_dark_hunger_duration"    "DURATION:"
	"DOTA_Tooltip_ability_shade_dark_hunger_radius"    "RADIUS:"

	"DOTA_Tooltip_ability_shade_shadowshift"    "Shadowshift"
	"DOTA_Tooltip_ability_shade_shadowshift_lore"    ""
	"DOTA_Tooltip_ability_shade_shadowshift_description"    "Shade melds into the shadows, becoming <b>Untargetable</b>, moving %movespeed%%% faster and able to walk through units and terrain."
		"DOTA_Tooltip_modifier_shadowshift"    "Shadowshift"
		"DOTA_Tooltip_modifier_shadowshift_description"    "Untargetable, moving faster, and able to move through terrain and units."

	"DOTA_Tooltip_ability_shade_isolation"    "Isolation"
	"DOTA_Tooltip_ability_shade_isolation_damage_reduction"    "%DAMAGE REDUCTION:"
	"DOTA_Tooltip_ability_shade_isolation_description"    "The Nightwalker causes the target enemy to emit a shockwave, dealing a small amount of damage, and petrifying all of their nearby allies for a short time. The main target has their total damage output reduced and is blinded."
	"DOTA_Tooltip_ability_shade_isolation_duration"    "DURATION:"
	"DOTA_Tooltip_ability_shade_isolation_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_shade_isolation_slow"    "%SLOW:"
		"DOTA_Tooltip_modifier_isolation"    "Isolation"
		"DOTA_Tooltip_modifier_isolation_description"    "Damage reduced."
		"DOTA_Tooltip_modifier_isolation_petrify"    "Isolation"
		"DOTA_Tooltip_modifier_isolation_petrify_description"    "Petrified and unable to help your allies at all."

///////////////////////////////////////////////////////
// Shard Magus
///////////////////////////////////////////////////////

	"npc_dota_hero_crystal_maiden"    "Shard Magus"
	"npc_dota_hero_crystal_maiden_bio"    ""
	"npc_dota_hero_crystal_maiden_hype"    "The Shard Magus can command powerful ice magic with very little effort. Damage, slow, then stun your enemies with Cryst Whorl, blow them away with a barrage of icicles, and summon a powerful ice Wyrm to aid you in battle."


	"DOTA_Tooltip_ability_special_bonus_shard_magus_1"    "+60 Cryst Whorl Initial Damage"

	"DOTA_Tooltip_ability_special_bonus_shard_magus_2"    "+0.75s Iceheart Debuff Duration"

	"DOTA_Tooltip_ability_special_bonus_shard_magus_3"    "Icicle Barrage Icicles Burn 20 Mana"

	"DOTA_Tooltip_ability_special_bonus_shard_magus_4"    "-5s Cryst Whorl Cooldown"

	"DOTA_Tooltip_ability_special_bonus_shard_magus_5"    "Glacial Impact Hits Buildings (2x Stun, 0.5x Damage)"
	"DOTA_Tooltip_ability_special_bonus_shard_magus_5_Description"    "Against non-building targets, it does the same amount of stun and damage."

	"DOTA_Tooltip_ability_shard_magus_cryst_whorl"    "Cryst Whorl"
	"DOTA_Tooltip_ability_shard_magus_cryst_whorl_Description"    "The Shard Magus unleashes a blast of chilling magic at the target location. Enemies caught in it take a small amount of damage, and are afflicted with multiple phases of debuffs. Every few seconds, they take damage, and proceed to the next phase. The <b>1st is a grace period</b>, the <b>2nd slows</b>, and the <b>3rd stuns</b>."
	"DOTA_Tooltip_ability_shard_magus_cryst_whorl_interval"    "TIME BETWEEN DEBUFFS:"
	"DOTA_Tooltip_ability_shard_magus_cryst_whorl_duration"    "DURATION:"
	"DOTA_Tooltip_ability_shard_magus_cryst_whorl_phase_duration"    "DEBUFF DURATION:"
	"DOTA_Tooltip_ability_shard_magus_cryst_whorl_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_shard_magus_cryst_whorl_damage"    "TOTAL DAMAGE:"
	"DOTA_Tooltip_ability_shard_magus_cryst_whorl_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_shard_magus_cryst_whorl_initial_damage"    "INITIAL DAMAGE:"
		"DOTA_Tooltip_modifier_cryst_whorl"    "Cryst Whorl"
		"DOTA_Tooltip_modifier_cryst_whorl_description"    "Being slowed, then stunned, and taking damage over time through the whole duration."

	"DOTA_Tooltip_ability_shard_magus_icicle_barrage"    "Icicle Barrage"
	"DOTA_Tooltip_ability_shard_magus_icicle_barrage_Description"    "With an incantation lost to time, the Shard Magus summons a turret-like structure before her. After a short delay, the turret begins peppering the area in front of it with myriad icicles. Each icicle deals damage and fully pierces the target.<br/><br/>Upgradable by Aghanim's Scepter."
	"DOTA_Tooltip_ability_shard_magus_icicle_barrage_duration"    "DURATION:"
	"DOTA_Tooltip_ability_shard_magus_icicle_barrage_icicles"    "ICICLES:"
	"DOTA_Tooltip_ability_shard_magus_icicle_barrage_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_shard_magus_icicle_barrage_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_shard_magus_icicle_barrage_range"    "RANGE:"
	"DOTA_Tooltip_ability_shard_magus_icicle_barrage_scepter_slow"    "SCEPTER SLOW:"
	"DOTA_Tooltip_ability_shard_magus_icicle_barrage_scepter_slow_duration"    "SCEPTER SLOW DURATION:"
	"DOTA_Tooltip_ability_shard_magus_icicle_barrage_scepter_damage"    "SCEPTER DAMAGE:"

	"DOTA_Tooltip_ability_shard_magus_iceheart"    "Iceheart"
	"DOTA_Tooltip_ability_shard_magus_iceheart_Description"    "Whenever the Shard Magus casts a spell, her ensorced heart reacts, surging an icy shockwave forth. The shockwave deals damage, and slows movespeed, attackspeed and turnrate."
	"DOTA_Tooltip_ability_shard_magus_iceheart_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_shard_magus_iceheart_duration"    "DURATION:"
	"DOTA_Tooltip_ability_shard_magus_iceheart_range"    "RANGE:"
	"DOTA_Tooltip_ability_shard_magus_iceheart_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_shard_magus_iceheart_attack_slow"    "ATTACK SLOW:"
	"DOTA_Tooltip_ability_shard_magus_iceheart_turnrate_slow"    "%TURNRATE SLOW:"
	"DOTA_Tooltip_ability_shard_magus_iceheart_movement_slow"    "%MOVEMENT SLOW:"
		"DOTA_Tooltip_modifier_iceheart_slow"    "Iceheart"
		"DOTA_Tooltip_modifier_iceheart_slow_description"    "Slowing turnrate, movespeed and attack speed."

	"DOTA_Tooltip_ability_shard_magus_glacial_impact"    "Glacial Impact"
	"DOTA_Tooltip_ability_shard_magus_glacial_impact_Description"    "The Shard Magus creates shards of ice that burst through the ground, stunning and damaging any enemies caught inside the radius."
	"DOTA_Tooltip_ability_shard_magus_glacial_impact_stun_duration"    "STUN DURATION"
	"DOTA_Tooltip_ability_shard_magus_glacial_impact_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_shard_magus_glacial_impact_radius"    "RADIUS:"

///////////////////////////////////////////////////////
// Siegfried
///////////////////////////////////////////////////////

	"npc_dota_hero_sven"    "Siegfried"
	"npc_dota_hero_sven_bio"    "Once a member of Epoch's Counsel, a group of knights and mages selected by a god's hand, Siegfried was known as the Protector of All, the Right Hand of Epoch. Wielding a shield that could twist time itself, and a sword that could bend space to his will, his influence spanned centuries upon centuries, helping the weak and purging evil from the lands. When another member, the Mouthpiece of Epoch, began plotting against the people in His name, Siegfried tried all he could to stop him, and to prove Epoch's continued love for humanity, despite the Mouthpiece's mad ramblings of power and destruction. As each of his fellow Counsel members turned against him, Siegfried had but one option remaining: travel to the deepest pits of the Below, obtain the Demon's Fire, absorbing it into his sword, and use its power to cut through Epoch's protection, ridding the world of the treacherous Mouthpiece. Upon his return, he went to strike the Mouthpiece to find he had been tricked. His blade, possessed by the Fire's malicious intent, cut down every member of the Counsel as he weeped, leaving him the sole survivor. He now travels, cursed sword in one hand, and the time-bending Eon Shield in the other, seeking to atone to Epoch for his sins..."
	"npc_dota_hero_sven_hype"    "A dangerous foe and valuable ally, the Demonfire Knight commands respect from his enemies in battle, with huge AoE stuns, a powerful attack steroid, and the ability to globally assist an ally for a short time."


	"DOTA_Tooltip_ability_special_bonus_siegfried_1"    "Epoch's Protection Basic Dispel"
	"DOTA_Tooltip_ability_special_bonus_siegfried_1_Description"    "Applies on creating a new buff, not on refreshing an existing one."

	"DOTA_Tooltip_ability_special_bonus_siegfried_2"    "+100 Eon Shield Radius"

	"DOTA_Tooltip_ability_special_bonus_siegfried_3"    "+150 Hell Bent Attack Speed"

	"DOTA_Tooltip_ability_special_bonus_siegfried_4"    "+2s Epoch's Protection"

	"DOTA_Tooltip_ability_siegfried_eon_shield"    "Eon Shield"
	"DOTA_Tooltip_ability_siegfried_eon_shield_Description"    "Siegfried tosses his ancient shield in the target direction, dealing %proj_damage% damage to enemies hit on the way. When it arrives, after a %delay% second delay, it deals %area_damage% and roots enemies in it for %root% seconds."
	"DOTA_Tooltip_ability_siegfried_eon_shield_speed"    "SPEED:"
	"DOTA_Tooltip_ability_siegfried_eon_shield_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_siegfried_eon_shield_proj_radius"    "PROJ RADIUS:"
		"DOTA_Tooltip_modifier_eon_shield_slow"    "Eon Shield"
		"DOTA_Tooltip_modifier_eon_shield_slow_description"    "Turn rate, movement speed and attack speed are slowed."

	"DOTA_Tooltip_ability_siegfried_hell_bent"    "Hell Bent"
	"DOTA_Tooltip_ability_siegfried_hell_bent_Description"    "Siegfried sacrifices %health_reduction%%% of his current Health to use the Demonfire forged into his soul and enter a frenzy, forcing himself to attack the target enemy for a short time. He gains bonus attack speed and bonus movespeed, alongside taking %damage_reduction%%% reduced Physical damage."
	"DOTA_Tooltip_ability_siegfried_hell_bent_duration"    "DURATION:"
	"DOTA_Tooltip_ability_siegfried_hell_bent_attack_speed"    "ATTACK SPEED:"
	"DOTA_Tooltip_ability_siegfried_hell_bent_movespeed"    "MOVESPEED:"
		"DOTA_Tooltip_modifier_hell_bent"    "Hell Bent"
